,id,color1,color2,color3,color4
341,works-on-paper1131,#E3A834,#C8924A,#BD4F34,#A9904D
342,prints95,#2A2A2A,#454545,#000000,#FDEECF
343,works-on-paper161,#3A5335,#A92320,#BBA400,#B3C1A0
344,prints1189,#FFFFFF,#C8C8BC,#3A4040,#FFE3EA
345,mixed-media123,#FFFFFF,#DCDCDC,#838488,#414244
346,prints208,#D15F93,#F5E7DC,#CA261D,#BF2E4B
347,prints234,#DFDCD5,#FE4701,#564A88,#D3A341
348,prints220,#000000,#AFD7CC,#FCF4CD,#59999B
349,prints546,#D8C7B3,#29472B,#1F5A94,#F85E94
350,mixed-media687,#EEEBE4,#010000,#E4D3B7,#211E19
351,works-on-paper809,#E6E7E9,#3D3C42,#BBBBBD,#8E8D92
352,photography361,#E8E0DD,#869A9B,#C2BDB9,#767678
353,painting476,#831311,#FFFFFF,#F4D330,#DAC23E
354,prints591,#F9F1E6,#FEC400,#FFB43D,#F29C47
355,prints1163,#FAFAF8,#D8D4C8,#B9B4A1,#918C79
356,works-on-paper835,#2B2B2B,#E9C501,#E2E0D4,#DB4300
357,photography1424,#EFE5CA,#373832,#575852,#B0AB98
358,prints1177,#EEEEEE,#868580,#778FB5,#CAC9C7
359,prints585,,,,
360,photography1342,#EBDDC2,#D3B996,#262431,#C19A6F
361,photography95,#FFFFFF,#DCDCDC,#000000,#BABABA
362,mixed-media1125,#C0C2C1,#787161,#3F1D11,#4F5963
363,prints988,#EEECE0,#95CAC0,#707755,#318C60
364,photography1197,#E5E5E5,#CCC5BB,#A69F95,#2B2B2B
365,prints750,#AAAFA8,#CBD0C9,#FFFFFF,#8A8F88
366,photography1183,#EBEBEB,#272727,#979797,#C2C2C2
367,prints977,#E4E1DC,#BFBEB9,#99958C,#79756C
368,photography611,#345078,#9DA8C4,#071730,#5A6B97
369,prints1349,#E4D3A7,#232228,#A58761,#C3B18B
370,mixed-media491,#20211B,#F3F3F1,#ECD9CB,#3A3B35
371,prints963,#F8F7F3,#282828,#D6D5D0,#A29F9A
372,prints1361,#FFD8AD,#C59879,#56361D,#7E5328
373,painting1083,#E4C6AC,#EDE4D5,#494949,#262217
374,works-on-paper68,#ECE9E4,#E7D7BE,#A9C4E1,#CCD4DF
375,prints1413,#DFDAE0,#B8BBC4,#566487,#D4BA95
376,mixed-media254,#585858,#F1F1F1,#A2A2A2,#5A4540
377,mixed-media1079,#211C19,#A28C53,#373536,#553F34
378,painting1120,#DBD3D0,#0D0906,#BF2201,#001C99
379,works-on-paper1246,#DEDEDE,#000000,#5E2D04,#381900
380,prints630,#F7F7F7,#191820,#E5B3D9,#CBC7C8
381,prints803,#F0EFED,#FFCC01,#79CC02,#FE0000
382,prints817,#26221F,#D1D0CB,#74716C,#413E39
383,mixed-media1092,#FFFFFF,#EACCA6,#8C5B4A,#382F30
384,prints181,#38214B,#5A5F7D,#F9F9F9,#719071
385,works-on-paper1285,#C6C1AE,#BB9650,#FFFFFF,#E2CE99
386,prints1215,#000000,#F1E7E5,#6884AC,#3F618F
387,photography981,#D2C09C,#DCDDD7,#BE9B7B,#A87B5A
388,photography1034,#FFFFFF,#040404,#D9D9D9,#B1B1B1
389,prints195,#090401,#C7C6CB,#FFFFFF,#6C6B70
390,works-on-paper982,#000000,#FFFFFF,#2A2A2A,#BDBDBD
391,prints432,#DDDCD8,#6B654D,#CABDAA,#8C8568
392,works-on-paper1050,#0F0F0F,#363636,#CACACA,#525252
393,photography215,#FFFFFF,#DCDCDC,#000000,#BABABA
394,works-on-paper969,#8E2826,#161211,#6F211F,#541C1B
395,prints1017,#060606,#242424,#3E3E3E,#5A5A5A
396,works-on-paper941,#FFFFFF,#DCDDE1,#7F7F81,#A1A0A5
397,prints6,#F7F6F4,#D4D1CC,#010000,#B1AEA9
398,prints381,#EFF0EA,#B06842,#ACCDD2,#E3D4C1
399,works-on-paper1085,#DEE3DD,#AFB4AE,#8B908A,#6D6F6A
400,prints1015,#E5E2DD,#C4C1B8,#A19E95,#2E2A1F
401,mixed-media915,#8C4033,#A5933F,#C9D0C8,#CCC9A8
402,photography1220,#BFCFDC,#E8EBF2,#9CAEBC,#CAC4B8
403,mixed-media901,#988E75,#33302B,#99583C,#4E4A49
404,works-on-paper1091,#FDFDFD,#9C8F63,#D3D3D5,#C3AF7D
405,prints1001,#EDCA8A,#C9985D,#FFF7C9,#000000
406,works-on-paper957,#FAF4E6,#0D0000,#4D3324,#D9CFC5
407,prints4,#F4F4F4,#8AB5D5,#B0D5E7,#6097B6
408,prints1029,#DDD5C8,#8D8B8C,#ACABA7,#D5CBA8
409,prints342,#D2D3D5,#938056,#1E1E20,#383127
410,prints424,#ECECE4,#E8D668,#CBB758,#A8C6D1
411,painting1334,#E3C798,#000000,#92BADE,#EBEBEB
412,prints430,#E2DFDA,#000000,#C2BEB5,#918E89
413,prints418,#342F2B,#EEEDE9,#005DA3,#A3B803
