,artist_names
689,John Baldessari
690,John Chamberlain
691,Roxy Paine
692,Franz Ackermann
693,Francisco Zuniga
694,Raphael Soyer
695,Inka Essenhigh
696,Tenesh Webber
697,Romain Langlois
698,Geoff Hargadon
699,Fabienne Verdier
700,Susan Cantrick
701,Jacques Owczarek
702,Gudrun Mertes-Frady
703,Gerhard Richter
704,Bridget Riley
705,Willem de Kooning
706,Harland Miller
707,Kiki Smith
708,Julian Opie
709,Ugo Rondinone
710,Wifredo Lam
711,Georges Braque
712,Magnus Plessen
713,Trudy Benson
714,Hiro Ichikawa
715,Marisol Escobar
716,Purvis Young
717,Robert Arthur Goodnough
718,Steve Kaufman
719,Nicole Pon Horvath
720,Simon Thompson
721,Fernando de Szyszlo
722,Kevin Appel
723,Julie Galiay
724,Karl Fred Dahmen
725,Julia Mangold
726,Kazuo Nakamura
727,Cosbe
728,Jay Rosenblum
729,Charles Ross
730,John Kacere
731,Irena Kurkova
732,James Godman
733,Michelle Marra
734,Floyd Elzinga
735,Melanie Simard
736,Lena Zak
737,Miriam Aroeste
738,Pearl Angrist
739,Ana Montiel
740,Kaliya Ka
741,Toshio Iezumi
742,Lloyd Tabing
743,SELY
744,Cocoquelicots
745,Nathalie Molla
746,NINU
747,Willy B
748,Steven Alexander
749,Tom Waldron
750,Angela Costanzo Paris
751,Alina Rodriguez Rojo
752,Christopher Ries
753,Nicolas V. Sanchez
754,Francisco Javier
755,J. Antonio Farfan
756,Sarah Larsen
757,Bo Bartlett
758,Christian Lindow
759,Zang Kunkun
760,Albrecht Schnider
761,Adam Barker-Mill
762,Mike Saijo
763,Michael Snow
764,Domenick Turturro
765,Estelle Ginsburg
766,Robert Beauchamp
767,Gregory Amenoff
768,Stallman
769,Jutta Rika Bressem
770,Louise Blyton
771,Francesca Borgo
772,Benjamin Anderson
773,Tara Conley
774,Janin Walter
775,Franko Tencic
776,Daria Semenova
777,Nathan Paddison
778,Monica Madotto
779,Danny Giesbers
780,Julia Avramidis
781,Shadee K
782,Valerie Marty
783,Simona Prives
784,Bego M. Santiago
785,Monica
786,Gunnar Norrman
787,Toland Sand
788,Capucine Safir
789,Guy Gee
790,Malgorzata Jablonska
791,Tanc
792,STATIC
793,Gene Davis
794,Barry Flanagan
795,Georges Rouault
796,Dana Schutz
797,Peter Hujar
798,Hans Bellmer
799,Ben Sack
800,Ben Shahn
801,Yasmin Alt
802,Guillaume Azoulay
803,Leslie Hewitt
804,Jimmy Ernst
805,Paul Rousso
806,Alfredo Volpi
807,Calo Carratala
808,Cecily Brown
809,Arnulf Rainer
810,Candida Hofer
811,Jeremy Annear
812,Eduardo Sarabia
813,Francesco Scavullo
814,Esteban Vicente
815,Alexander Ross
816,Norman Bluhm
817,Henry Moore
818,Sandra Chevrier
819,Ilya Bolotowsky
820,Matthew Barney
821,Juan Usle
822,Terence Netter
823,Cildo Meireles
824,Hongyu Zhang
825,Hans Findling
826,April Gornik
827,Ahn Hyun-Ju
828,Pedro Proenca
829,Alain Jacquet
830,Max Papart
831,Mojoko
832,Emily Eveleth
833,Francine Tint
834,Ayako Rokkaku
835,Gillie and Marc
836,Claude Tetot
837,Marie Louise Sorbac
838,Royce Bannon
839,Laurent Grasso
840,Audrey Barcio
841,Ana Mercedes Hoyos
842,Marine De Soos
843,Asgar/Gabriel
844,Gabriel de la Mora
845,Markus Linnenbrink
846,Matthias Zinn
847,Torolab
848,Mary Sibande
849,Allyson Strafella
850,Jac Leirner
851,Tiago Carneiro da Cunha
852,Camila Sposati
853,Alice Baber
854,Natalia Koren Kropf
855,Max Johnston
856,John Meredith
857,Juan Ripolles
858,Rasha Eleyan
859,Donald Saff
860,Franco Salas Borquez
861,Bea Garding Schubert
862,Torge Steffens
863,Giulia Puntel
864,Rob Burman
865,Darae Jeon
866,Diana Krinninger
867,Douglas Melini
868,Nuge
869,Kathleen Jacobs
870,Caroline Vis
871,Zachari Logan
872,Lars von Trier
873,Petra Schott
874,Ondrej Oliva
875,Piotre
876,Hope 1393
877,Majic Monster
878,Matthew Heller
879,Valeria Nascimento
880,Johanna Kestila
881,Nikolina Petolas
882,Marc Brousse
883,Sonya Revell
884,Nian
885,Julien Delagrange
886,Ham Sup
887,George Dawnay
888,Jim Dicke
889,Mel Prest
890,Jason Dussault
891,Nalini Malani
892,Anastasia Khoroshilova
893,Sherman Beck
894,Alfred Conteh
895,Michel Perez Pollo
896,James Howell
897,Nona Faustine
898,Ian Laurie
899,Elena Seroff
900,Gordon Anderson
901,Tommy Flynn
902,Jan De Ruth
903,Lauren Bilanko
904,Alan Herr
905,Ralph Fasanella
906,Herbert Aach
907,Peter Mayer
908,Rita Simon
909,Jim Budish
910,Judy Cheng
911,John Joseph Hanright
912,David Robinson
913,Blu Smith
914,Bill Starke
915,Dannielle Tegeder
916,Monica Shulman
917,Idris Habib
918,Francisco Montoya Cazarez
919,James Little
920,Radina Stoimenova
921,Mark Beard
922,Pegaz
923,Clement Herrmann
924,Hico
925,Roby Dwi Antono
926,Christophe Dupety
927,Demarcus McGaughey
928,Jesus Pedraglio Belmont
929,Frank Stella
930,Nan Goldin
931,Christo and Jeanne-Claude
932,Robert Morris
933,Nick Gentry
934,Hans Hartung
935,Mimmo Rotella
936,Jean Dubuffet
937,Friedel Dzubas
938,Romare Bearden
939,Jack Youngerman
940,Leonor Fini
941,James Siena
942,John Sonsini
943,Xavier Veilhan
944,Jannis Kounellis
945,Arthur Dorval
946,L'Outsider
947,Frank Gerritz
948,Anthony Quinn
949,Marc C. Woehr
950,Anna Maria Maiolino
951,Herbert Bayer
952,Betty Parsons
953,Maurice Tabard
954,Dinh Q. Le
955,Antoine Cordet
956,Helio Oiticica
957,Omar Rayo
958,Ivan Argote
959,Deanna Sirlin
960,Raffi Kalenderian
961,Sam Bolton
962,Christopher Makos
963,Sybil Gibson
964,Kim Uchiyama
965,Faile
966,Augustine Kofie
967,PEETA
968,Ben Frost
969,Remed
970,Jasper Johns
971,Sol LeWitt
972,Richard Serra
973,Nobuyoshi Araki
974,Eric Fischl
975,Eduardo Chillida
976,Mimmo Paladino
977,Bert Stern
978,Jesus Rafael Soto
979,Helen Frankenthaler
980,Mark Tobey
981,Carmen Herrera
982,Lucien Clergue
983,Frederic Prat
984,Max Ernst
985,Wim Delvoye
986,Jonas Wood
987,Aaron Wexler
988,Hernan Bas
989,Julian Stanczak
990,Troy Brauntuch
991,James Brown
992,Vincent Abadie Hafez
993,The Connor Brothers
994,Nicola de Maria
995,Jorge Rodriguez-Gerada
996,Tam Van Tran
997,Leonardo Nierman
998,Chen Yiching
999,Jonty Hurwitz
1000,Thilo Heinzmann
1001,Rita McBride
1002,Miguel Berrocal
1003,Max Zorn
1004,Tien Wen
1005,Robert van Bolderick
1006,Michael Cusack
1007,Charles Dufresne
1008,Gunter Damisch
1009,Ai Kijima
1010,David Murphy
1011,Raymundo Colares
1012,Steve Moors
1013,Xiao Guo Hui
1014,Janieta Eyre
1015,Alexander Rasmussen
1016,David Cantine
1017,Jim Jacobs
1018,Marcia Marx
1019,Jon D'Orazio
1020,Joseph Solman
1021,Jon Naar
1022,Claire Tabouret
1023,Chaim Goldberg
1024,Oli Epp
1025,Sharon Brill
1026,Jallen
1027,Richard B. Smith
1028,Michael Soltis
1029,Tim Yankosky
1030,Robert Sagerman
1031,Alisa Sikelianos-Carter
1032,Mihaela Ivanova
1033,Laura Kaktina
1034,JuanCarlos rLora
1035,Terry Pastor
1036,Yoann Bonneville YBA
1037,Matthew Sadergaski
1038,M.Koeur
1039,Wegs
1040,Brunograffer
1041,Tegan Brozyna Roberts
1042,Natalie Cheung
1043,Paul Wackers
1044,Musah Swallah
1045,Ziesook You
1046,RJ Calabrese
1047,Norman Wilkinson
1048,Ren Hong
1049,Cecco Mariniello
1050,Carolyn Cole
1051,Dave Lowell
1052,Seymour Chwast
1053,Daniele Buetti
1054,Yann Guillon
1055,Johanna Billing
1056,Matthew Ronay
1057,Henrik Eiben
1058,Jose Resende
1059,Manoela Medeiros
1060,Tom Hodgson
1061,Kevin Red Star
1062,Jean-Marie Haessle
1063,Raul Anguiano
1064,William Waithe
1065,Robert Squeri
1066,Thomas W. Benton
1067,David Roth
1068,Paul von Ringelheim
1069,Michael DeCamp
1070,Jon Carsman
1071,Eiji Ohashi
1072,Karel Appel and Pierre Alechinsky
1073,Lebadang
1074,Juan Carlos Collada
1075,Andre Monet
1076,Jan Gulfoss
1077,Harriet Liddell Foster
1078,Michelle Gagliano
1079,Dragica Carlin
1080,Javier Calleja
1081,Annesta Le
1082,Rainer Wolzl
1083,Efe Kurt
1084,Bunny Yeager
1085,Dimitar Solakov
1086,Lyuben Domozetski
1087,Miss Aniela
1088,Alesandro Ljubicic
1089,Raf Urban
1090,Glauc'
1091,Mr. Kami
1092,Istraille
1093,Krasimira Stikar
1094,Jay McCafferty
1095,Bonnie Edelman
1096,Betsy Eby
1097,Alina Maksimenko
1098,Zoran Simunovic
1099,Julie Peppito
1100,Celia Pym
1101,LeavittWeaver
1102,Richard Bruland
1103,Bradley Harms
1104,Daniela Marin
1105,Enrique Cabrera
1106,Demit Omphroy
1107,Dan Tanenbaum
1108,Connor James
1109,JonOne
1110,Stinkfish
1111,Claes Oldenburg
1112,Jenny Holzer
1113,Larry Clark
1114,Massimo Vitali
1115,Rene Gruau
1116,Stephan Balkenhol
1117,Rufino Tamayo
1118,William Copley
1119,Ross Bleckner
1120,Bernar Venet
1121,Saul Steinberg
1122,Jacques Villon
1123,Jiri Kolar
1124,Tacita Dean
1125,Leon Polk Smith
1126,Stanley William Hayter
1127,Peter Beard
1128,Carlos and Jason Sanchez
1129,Robert Mangold
1130,Nancy Spero
1131,Brad Robson
1132,Darkcloud
1133,Kenji Nakayama
1134,Jeffrey Gibson
1135,Manuel Robbe
1136,Cranio
1137,Alphonse Mucha
1138,Maripol
1139,Hans Feurer
1140,Kim Keever
1141,Philip Pearlstein
1142,Sara Pope
1143,Jiang Tie Feng
1144,Penny
1145,Tunga
1146,Anni Albers
1147,Toctoc
1148,CB Hoyo
1149,Phillip Allen
1150,General Idea
1151,Kolkoz
1152,Kikuo Saito
1153,Jess Hurley Scott
1154,Frederique Domergue
1155,DALeast
1156,Marina Abramovic
1157,Konrad Klapheck
1158,Louise Bourgeois
1159,Walasse Ting
1160,Manolo Valdes
1161,Lee Ufan
1162,Terence Koh
1163,NEVERCREW
1164,Hebru Brantley
1165,Gilbert and George
1166,Peter Blake
1167,Kenneth Noland
1168,Alfonso Ossorio
1169,Hans Hofmann
1170,Liz Nielsen
1171,John Baeder
1172,Elaine de Kooning
1173,Johnny Friedlaender
1174,Marie Laurencin
1175,Elmgreen & Dragset
1176,Natalie Edgar
1177,Yaze
1178,Peter Anton
1179,Takesada Matsutani
1180,Lady Pink
1181,Yvaral
1182,Nancy Graves
1183,Hilo Chen
1184,Mathew Hale
1185,Jose Bedia
1186,Richard Bosman
1187,David Diao
1188,Lino Tagliapietra
1189,Gianni Bertini
1190,A.Selvaraj
1191,Manfred Pernice
1192,Remy Zaugg
1193,Karl Kasten
1194,Lee Bae
1195,Paul Wunderlich
1196,Matt Devine
1197,Burhan Dogancay
1198,Jose Lerma
1199,Celia Hempton
1200,Does
1201,Arthur Luiz Piza
1202,Simone Fattal
1203,John Little
1204,Heath Kane
1205,Miha Strukelj
1206,Jens Fange
1207,Zach Harris
1208,Tom LaDuke
1209,Matthew Benedict
1210,Julieta Aranda
1211,Pia Camil
1212,Mary Abbott
1213,Artur Barrio
1214,Vanessa Henn
1215,Winston Roeth
1216,Athos Bulcao
1217,Boomoon
1218,Miru Kim
1219,Cj Hendry
1220,Christy Langer
1221,Richard Stipl
1222,Sherri Hay
1223,Don David
1224,Peter Mack
1225,C.J. Yao
1226,John Tandy
1227,Ron Rundo
1228,Mihail Chemiakin
1229,Andree Amarica
1230,David Azuz
1231,Cris Cristofaro
1232,Moses Soyer
1233,Molly Brocklehurst
1234,Roger Eberhard
1235,Peter Krawagna
1236,Marina Adams
1237,Jo Hummel
1238,Bogdan Molea
1239,Shannon Finley
1240,Derek Morris
1241,Claudia Limacher
1242,Attilio Esposito
1243,Iran Issa-Khan
1244,Tito Salomoni
1245,Yeo Siak Goon
1246,Michi Meko
1247,Suchitra Mattai
1248,Peter Brooke-Ball
1249,Patricia Volk
1250,Jessica Stoller
1251,Katie Bell
1252,Esmaa Mohamoud
1253,Alexander Arshansky
1254,Rene Kemp
1255,Patrick Christie
1256,PROOZ
1257,Sam Guillemot
1258,FreakS the FaB
1259,Air
1260,Mahelle
1261,Pix3ln
1262,Socrate
1263,Stan Maksun
1264,Horss
1265,Fabienne Peretti
1266,Sunny Jim
1267,Pablo Griss
1268,Peter Monaghan
1269,Madeleine Keesing
1270,Sarah Amos
1271,Jessica Drenk
1272,Karen Gunderson
1273,Colin Fleck
1274,Jean-Marie Appriou
