,artist_links
411,https://www.widewalls.ch/artists/tilman
412,https://www.widewalls.ch/artists/suzanne-caporael
413,https://www.widewalls.ch/artists/audrey-stone
414,https://www.widewalls.ch/artists/brad-wilson
415,https://www.widewalls.ch/artists/beat-zoderer
416,https://www.widewalls.ch/artists/jill-moser
417,https://www.widewalls.ch/artists/yvonne-thomas
418,https://www.widewalls.ch/artists/kate-ericson-and-mel-ziegler
419,https://www.widewalls.ch/artists/daniel-rich
420,https://www.widewalls.ch/artists/david-allan-peters
421,https://www.widewalls.ch/artists/flavio-garciandia
422,https://www.widewalls.ch/artists/barry-nelson
423,https://www.widewalls.ch/artists/louisa-chase
424,https://www.widewalls.ch/artists/charles-cobelle
425,https://www.widewalls.ch/artists/miriam-smidt
426,https://www.widewalls.ch/artists/lucinda-burgess
427,https://www.widewalls.ch/artists/alen-opsar
428,https://www.widewalls.ch/artists/maria-jose-arjona
429,https://www.widewalls.ch/artists/ludovic-dervillez
430,https://www.widewalls.ch/artists/paul-landauer
431,https://www.widewalls.ch/artists/kathleen-kucka
432,https://www.widewalls.ch/artists/jonathan-smith
433,https://www.widewalls.ch/artists/george-rodger
434,https://www.widewalls.ch/artists/andreas-leikauf
435,https://www.widewalls.ch/artists/luca-marziale
436,https://www.widewalls.ch/artists/oswaldo-goeldi
437,https://www.widewalls.ch/artists/louise-robert
438,https://www.widewalls.ch/artists/laurent-marcel-salinas
439,https://www.widewalls.ch/artists/nick-terry
440,https://www.widewalls.ch/artists/jeremie-iordanoff
441,https://www.widewalls.ch/artists/tunku-khalsom
442,https://www.widewalls.ch/artists/jennyfer-stratman
443,https://www.widewalls.ch/artists/marcone-moreira
444,https://www.widewalls.ch/artists/zhu-ming
445,https://www.widewalls.ch/artists/mattia-bosco
446,https://www.widewalls.ch/artists/micowel
447,https://www.widewalls.ch/artists/carla-gimbatti
448,https://www.widewalls.ch/artists/evelyn-politzer
449,https://www.widewalls.ch/artists/sebastiaan-knot
450,https://www.widewalls.ch/artists/kenny-scharf
451,https://www.widewalls.ch/artists/yaacov-agam
452,https://www.widewalls.ch/artists/robert-motherwell
453,https://www.widewalls.ch/artists/eduardo-arranz-bravo
454,https://www.widewalls.ch/artists/martin-c-herbst
455,https://www.widewalls.ch/artists/cecile-raynal
456,https://www.widewalls.ch/artists/fred-stichnoth
457,https://www.widewalls.ch/artists/guillaume-chansarel
458,https://www.widewalls.ch/artists/takashi-murakami
459,https://www.widewalls.ch/artists/yayoi-kusama
460,https://www.widewalls.ch/artists/gunther-forg
461,https://www.widewalls.ch/artists/karel-appel
462,https://www.widewalls.ch/artists/greet-helsen
463,https://www.widewalls.ch/artists/ellen-priest
464,https://www.widewalls.ch/artists/malcolm-morley
465,https://www.widewalls.ch/artists/henrietta-harris
466,https://www.widewalls.ch/artists/gered-mankowitz
467,https://www.widewalls.ch/artists/pierre-alechinsky
468,https://www.widewalls.ch/artists/robert-baribeau
469,https://www.widewalls.ch/artists/tomory-dodge
470,https://www.widewalls.ch/artists/jurgen-drescher
471,https://www.widewalls.ch/artists/tom-mcglynn
472,https://www.widewalls.ch/artists/klaus-kampert
473,https://www.widewalls.ch/artists/chryssa
474,https://www.widewalls.ch/artists/joachim-van-der-vlugt
475,https://www.widewalls.ch/artists/gianfranco-pezzot
476,https://www.widewalls.ch/artists/anthony-frost
477,https://www.widewalls.ch/artists/unknown
478,https://www.widewalls.ch/artists/richard-hunt
479,https://www.widewalls.ch/artists/david-row
480,https://www.widewalls.ch/artists/mike-meire
481,https://www.widewalls.ch/artists/hadi-tabatabai
482,https://www.widewalls.ch/artists/dieter-mammel
483,https://www.widewalls.ch/artists/charlie-hewitt
484,https://www.widewalls.ch/artists/susanne-kirsch
485,https://www.widewalls.ch/artists/rico-gatson
486,https://www.widewalls.ch/artists/jeff-robb
487,https://www.widewalls.ch/artists/lilian-thomas-burwell
488,https://www.widewalls.ch/artists/lisa-palomino
489,https://www.widewalls.ch/artists/nora-ampova
490,https://www.widewalls.ch/artists/meyers-rohowsky
491,https://www.widewalls.ch/artists/nite-owl
492,https://www.widewalls.ch/artists/otist
493,https://www.widewalls.ch/artists/bbqueen
494,https://www.widewalls.ch/artists/harry-skeggs
495,https://www.widewalls.ch/artists/isher-dhiman
496,https://www.widewalls.ch/artists/jac-lahav
497,https://www.widewalls.ch/artists/shelly-mccoy
498,https://www.widewalls.ch/artists/paul-fabozzi
499,https://www.widewalls.ch/artists/raphael-macek
500,https://www.widewalls.ch/artists/sarah-chilvers
501,https://www.widewalls.ch/artists/benjamin-benno
502,https://www.widewalls.ch/artists/pedro-caetano
